"pestcode","pestdesc"
"WAPPG  ","GREEN PEACH APHID"
"WAPWS  ","WOOLLY APPLE APHID -SUPPRESSION ONLY"
"WBA1   ","APPLE DIMPLING BUG - C. LIEBKNECHTI"
"WBAN   ","BLACK ANT"
"WBELR  ","REDSHOULDERED LEAF BEETLE"
"WBFCM  ","SMALL CITRUS BUTTERFLY"
"WBFTB  ","BLUE TRIANGLE BUTTERFLY"
"WBJB   ","JUNE BEETLE LARVA"
"WBOF   ","ORANGE FRUIT BORER"
"WBOFB  ","BLASTOBASIS SPP."
"WBOTF  ","FRUIT-TREE BORER MOTH"
"WBOTL  ","LONGICORN TREE BORER"
"WBSE1  ","SOUTHERN EUCALYPTUS LEAF BEETLE - LARVAE"
"WBT    ","BEETLE"
"WBT6   ","FAMILY: ANOBIIDAE"
"WBTCA  ","AUSTRALIAN CARPET BEETLE"
"WBTF   ","FLOUR BEETLES"
"WBTFL  ","LONGHEADED FLOUR BEETLE"
"WBTFU  ","RUST-RED FLOUR BEETLE"
"WBTGM  ","MERCHANT GRAIN BEETLE"
"WBTHC  ","COMMON HIDE BEETLE"
"WBTI   ","PINHOLE BEETLE"
"WBTPP  ","PLAIN PUMPKIN BEETLE"
"WBTRH  ","REDLEGGED HAM BEETLE"
"WBTT   ","TOBACCO BEETLE"
"WBTXB  ","CHRISTMAS BEETLE"
"WBUD   ","SPINED OR LARGER HORNED CITRUS BUG"
"WBUD1  ","SPINED ORANGE BUG"
"WBUL   ","SYCAMORE LACE BUG"
"WBUMG  ","GRASS-CROWN MEALYBUG"
"WBUMM  ","CITROPHILOUS MEALY BUG"
"WBUN   ","GREY CLUSTER BUG"
"WBUP   ","PASSIONVINE BUG"
"WBUQ   ","PODSUCKING BUG"
"WBUR   ","RUTHERGLEN BUG"
"WBWBS  ","BUDWORMS"
"WBWCL  ","COTTON BUDWORM OR BOLLWORM - LARVAE"
"WBWH   ","HELICOVERPA SPP."
"WBWNL  ","NATIVE BUDWORM OR BOLLWORM - LARVAE"
"WBWNR  ","NORTHERN ROUGH BOLLWORM"
"WBWSP  ","PINKSPOTTED BOLLWORM"
"WCA    ","CATERPILLAR"
"WCAA   ","ANTHELID CATERPILLAR"
"WCAF   ","BEAN FLOWER CATERPILLAR"
"WCAFE  ","EARLY FRUIT CATERPILLAR"
"WCALC  ","CITRUS LEAF-EATING CATERPILLAR"
"WCALM  ","LEAFEATING CATERPILLAR"
"WCOE   ","COCKROACH - EGG"
"WCU    ","CUTWORM - AGROTIS SPP."
"WFLAX  ","CAT FLEA - LARVAE"
"WFLH   ","FLEA"
"WFYB2  ","BLOWFLY - CALLIPHORA NOCIVA"
"WFYBY  ","BLOWFLY MAGGOT - LUCILIA SPP."
"WFYF1  ","FRUIT FLY - QUARANTINE TREATMENT ONLY"
"WFYFM  ","MEDITERRANEAN FRUIT FLY"
"WFYHM  ","HOUSE FLY - MAGGOT"
"WFYLM  ","LEAF MINING FLY"
"WFYMA  ","FLY - ADULT (MUSCA SPP.)"
"WFYOB  ","BOTS - GASTEROPHILUS SPP."
"WFYT   ","STABLE FLY"
"WFYU2  ","BUFFALO FLY - DIAZINON SENSITIVE"
"WGNFB  ","BLACK FUNGUS GNAT"
"WGPG   ","GENERAL GARDEN PEST"
"WGPSA  ","STORED ANIMAL PRODUCT(SKINS, ETC) PESTS"
"WGPSG  ","STORED GRAIN INSECT PESTS"
"WGRC3  ","CONSOBRINA CANEGRUB-REF LABEL LIFE STAGE"
"WGRCS  ","CANEGRUB - LEPIDIOTA SQUAMULATA"
"WGRL   ","LAWN GRUB"
"WGROW  ","WINTER CORBIE"
"WGRSP  ","PRUINOSE SCARAB"
"WGRW   ","WHITEGRUB"
"WHOLZ  ","ZIGZAG LEAFHOPPER"
"WHOTG  ","GREEN TREEHOPPER"
"WHOW   ","WHITE BACKED PLANTHOPPER"
"WHPM   ","MANGO PLANTHOPPER"
"WKAC   ","CITRUS KATYDID"
"WLC    ","LOCUST"
"WLCPA  ","AUSTRALIAN PLAGUE LOCUST"
"WHOP1  ","FLATID"
"WHOY   ","VEGETABLE LEAFHOPPER"
"WKE    ","KED"
"WLASP  ","TWENTYEIGHT-SPOTTED POTATO LADYBIRD"
"WLMC   ","CITRUS LEAFMINER"
"WLMN   ","LEAFMINER - ACROCERCOPS SPP."
"WLOFS  ","CATBITING LOUSE"
"WLOSF  ","SHEEP FOOT LOUSE"
"WLOT   ","TUBERCLE-BEARING LOUSE"
"WLPP   ","BROWN PASTURE LOOPER"
"WLRL   ","LUCERNE LEAFROLLER"
"WMMS   ","CITRUS SCAB"
"WMO    ","MOTH"
"WMOBPS ","PINK SPOTTED BOLLWORM MOTH"
"WMOCD  ","BROWNDOTTED CLOTHES MOTH"
"WMOCW  ","WEBBING OR COMMON CLOTHES MOTH"
"WMOGM  ","MOTTLED GRAIN MOTH"
"WMOHS  ","SANDAL-BOX HAWK MOTH"
"WMOJ   ","SOYBEAN MOTH"
"WMOL   ","LOOPER MOTH"
"WMOWL  ","LARGER WAX MOTH"
"WMOY   ","YELLOW PEACH MOTH"
"WMS    ","MOSQUITO"
"WMSSC  ","SALTMARSH CULEX"
"WPL    ","PSYLLID OR LERP INSECT"
"WPLT   ","TEA TREE PSYLLID"
"WSCBC  ","CIRCULAR BLACK SCALE"
"WSCG   ","GRAPEVINE SCALE"
"WSCGL  ","GLOVER'S SCALE"
"WSCI1  ","SCALE - IMMATURE"
"WSCK   ","ORCHID SCALE"
"WSCPS  ","PRUNE SCALE"
"WSCSC  ","SOFT SCALE"
"WTE    ","TERMITE - MASTOTERMES SPP."
"WTEA   ","TERMITE - COPTOTERMES ACINACIFORMIS"
"WTHFB  ","BANANA FLOWER THRIPS"
"WTWC   ","COTTON TIPWORM"
"WWA1   ","WASP NEST"
"WWEGR  ","GRANARY WEEVIL - MALDISON RESISTANT"
"WWEW   ","WHITE FRINGED WEEVIL"
"WWIL   ","WIREWORM - LARVAE"
"WWWP   ","PASTURE WEBWORM"
"WWWP1  ","PASTURE WEBWORM - HEDNOTA SPP."
"XAABE  ","BUNCH ELONGATION (STRETCH)"
"XAADA  ","INCREASE FRUIT STORAGE QUALITY"
"XAAEL  ","PROMOTED OR DELAYED FRUIT MATURITY"
"XAAIF  ","INITIATE FLOWERING IN RATOON"
"XAAK   ","EVEN OUT PRODUCTION CYCLE"
"XAAO   ","CONTROL OF HEIGHT"
"XAASU  ","SUCKER CONTROL"
"XAFIRE ","FIRE FIGHTING"
"XANS   ","SPASM"
"XAOC   ","ORGANIC CONTAMINANT OR WASTE"
"XASAFE ","SEED SAFENER - SEE LABEL"
"XASO   ","SOIL CONDITIONING"
"XASPA  ","SPREADING AGENT"
"XATS   ","TIMBER STAINS"
"XBL    ","BLOAT"
"XCUT   ","STRIKING PLANT CUTTINGS"
"XGAG   ","GERM"
"XGASD  ","SPORICIDAL DISINFECTION"
"XHOS   ","Sex hormones"
"XHOT   ","Trophic hormones"
"XLAX   ","LAXATIVE, PURGATIVE OR LUBRICANT"
"XMAN   ","MANGE"
"XMANS  ","SARCOPTIC MANGE"
"XNCHC  ","CALOTROPE"
"XSTA   ","ANABOLIC STEROID"
"XTAD   ","DECAY PREVENTION OR PRESERVATION"
"XYANL  ","LEAF EATING PEST - NON-SPECIFC"
"XZAA   ","INSECT PROTECTIVE SEED DRESSING"
"YAFD   ","AQUARIUM FISH DISEASE"
"YANT1  ","ANTHRACNOSE - M. PANATTONIANUM"
"YANT2  ","ANTHRACNOSE - C. GLOEOSPORIDES"
"YANT5  ","ANTHRACNOSE - COLLETOTRICHUM GRAMINICOLA"
"YANTF  ","ANTHRACNOSE ON BEAN"
"YBAB   ","BACTERIAL BLIGHT"
"YBACBS ","BACILLUS SPP."
"YBACD1 ","CITRUS CANKER"
"YBACE  ","BACTERIAL PREVENTION, CLEANSING OR DISIN"
"YBACP  ","CROWN GALL DISEASE"
"YBANB  ","NASAL BOT"
"YBG    ","BACTERIAL GROWTH"
"YBLA1  ","ASCOCHYTA BLIGHT"
"YBLIM  ","BLOSSOM BLIGHT - BOTRYTIS SPP."
"YBLIN  ","BLIND SEED DISEASE"
"YBLIPH ","PEACH BLIGHT"
"YBLO8  ","NET BLOTCH SPOT-TYPE"
"YBLPV  ","LEAF BLIGHT - PHOMOPSIS VITICOLA"
"YBOTS  ","SEED-BORNE BOTRYTIS"
"YBSL   ","LEAF BLISTER"
"YBUNT  ","CEREAL BUNT"
"YCATR  ","TRUNK CANKER"
"YDCL   ","COLLETOTRICHUM"
"YDEFB1 ","VITAMIN B.1 DEFICIENCY"
"YDK    ","DISEASES OF KOI FISH"
"YECZM  ","CANINE SUMMER ECZEMA"
"YFR    ","FRECKLE"
"YFRSD  ","FRUIT ROUND ROT - SPHAEROPSIS DALMATICA"
"YFURW  ","WHITE ROT FUNGUS"
"YFUSA  ","ARMILLARIA SPP."
"YFUSB  ","BOTRYTIS SOIL FUNGUS"
"YLEG1  ","SEEDLING BLACKLEG - SUPPRESSION"
"YMID8  ","DOWNY MILDEW - BREMIA LACTUCAE"
"YMILL  ","DOWNY MILDEW ON LETTUCE"
"YMIP1  ","POWDERY MILDEW ON ROSE"
"YMIPH  ","POWDERY MILDEW ON PAWPAW"
"YMLP1  ","POWDERY MILDEW ON AZALEA"
"YMOUB  ","BLUE MOULD ON CITRUS - P. ITALICUM"
"YMOUL  ","BLUE MOULD"
"YMOUY  ","GREY MOULD - BOTRYTIS CINEREA"
"YMUCO  ","MUCOR SOFT ROT"
"YPATB  ","BROWN PATCH"
"YPATD  ","DRY PATCH / HARD PATCH"
"YPPS   ","POME FRUIT - PENICILLIUM SOLITUM"
"YRHI   ","RHIZOPUS ROT"
"YRO3   ","ROOT ROT"
"YROB6  ","BROWN ROT - MONILINIA/SCLEROTINIA SPP."
"YROCR  ","CROWN ROT - SCLEROTIUM ROLFSII"
"YROCV  ","CROWN ROT - VERTICILLIUM SPP."
"YROH   ","COLLAR ROT - SCLEROTIUM ROLFSII"
"YROHA  ","ANTHRACNOSE HUSK ROT"
"YROHP  ","HEART ROT - PHYTOPHTHORA SPP."
"YROPH  ","STEM END ROT - PHOMOPSIS CITRI"
"YROS3  ","SOFT ROT"
"YROT2  ","FRUIT OR BELLY RHIZOCTONIA ROT"
"YROT3  ","PHYTOPHTHORA FRUIT ROT"
"YROTH  ","ERWINIA SOFT ROT"
"YROTO  ","FUSARIUM DRY ROT"
"WWEE   ","ELEPHANT WEEVIL"
"WWEF   ","FRUIT TREE ROOT BORER WEEVIL"
"WWEP   ","PEA WEEVIL"
"WWES   ","SITONA WEEVIL"
"WWWH   ","WEBWORM - HEDNOTA PEDIONOMA"
"XAAA   ","FRUIT THINNING"
"XAABS  ","IMPROVE BERRY SET"
"XAAED  ","PROMOTE FRUIT SKIN OR FLESH COLOUR"
"XAAEG  ","PROMOTE FRUIT FIRMNESS"
"XAAF1  ","REDUCTION IN SEVERITY OF CREASING"
"XAAHC  ","ADVANCE OR DELAY MATURITY (INC. RIND)"
"XAAHP  ","PROLONG CUT FLOWER LIFE"
"XAAHV  ","CONTROL EXCESS GROWTH OF VEGETATION"
"XAAJ   ","PREVENTION OF SPROUTING"
"XAAM   ","ACCELERATE RIPENING"
"XAATS  ","PREVENT SUCKER DEVELOPMENT"
"XACM   ","CROP MANAGEMENT"
"XAEC   ","CARRIER - ANTI-EVAPORANT"
"XAFO   ","FOULING - FOR ANTIFOULING ON BOATS"
"XAI    ","ANTI-INFLAMMATORY AGENT"
"XAIAS  ","ANTI-INFECTIVE OR ANTISEPTIC"
"XANOS  ","VELVET DISEASE"
"XAPOSC ","CHLORINE STABILISER"
"XARF   ","REDUCTION IN FRUIT SET"
"XASL   ","ADDITIVE - REFER TO LABEL"
"XASPA1 ","SPREADING AGENT (REFER-HERBICIDE LABEL)"
"XASTA  ","STICKING AGENT"
"XATM   ","TANK MIXING"
"XAWA   ","WATERING OF SOIL"
"XCRS   ","CONTROL ROOT SPIRALLING"
"XDEFSE ","SELENIUM DEFICIENCY"
"XDEM   ","MINERAL AND NUTRITIONAL ADDITIVE"
"XFIP   ","INCREASE POLLINATION"
"XINR   ","ROOTING INDUCTION"
"XMAND  ","DEMODECTIC MANGE"
"XPFM   ","MARINE FOULING"
"XRCA   ","CARDIAC REACTANT"
"XSHS   ","SANITISER - HARD SURFACES"
"XSTC   ","CORTICOSTEROID"
"YALS   ","ALTERNARIA LEAF SPOT - ALTERNARIA SPP."
"YBAC   ","BACTERIAL DISEASE"
"YBAC1  ","BACTERIAL CANKER - C. MICHIGANENSIS"
"YBACA  ","BACTERIAL CANKER"
"YBACJ  ","STAPHYLOCOCCUS AUREUS"
"YBACK  ","BACTERIAL SPECK"
"YBANB1 ","NASAL BOT - PARASITIC LARVAL STAGE"
"YBL1   ","LISTERIA MONOCYTOGENES"
"YBLLC  ","LEAF BLIGHT - CERCOSPORIDIUM"
"YBLOB  ","SPECKLED LEAF BLOTCH"
"YBLS1  ","SEPTORIA NODORUM BLOTCH - SEPTORIA NODOR"
"YBOTR  ","BOTRYTIS"
"YBSW   ","WATER BLISTER"
"YCAT   ","TRUNK AND STEM CANKER"
"YDAMA  ","DAMPING OFF - PYTHIUM ULTIMUM"
"YDEFP1 ","HYPOKALAEMIA"
"YDGF   ","DISEASES OF GOLDFISH"
"YDIP   ","PINEAPPLE DISEASE"
"YFIRE1 ","FIRE - BOTRYTIS TULIPAE"
"YFRG   ","FRUIT ROT - GEOTRICHUM SP"
"YFRP   ","FRUIT ROT - PHOMOPSIS SP"
"YFWD   ","FUSARIUM WILT DISINFECTION"
"YHEB1  ","BLACK HELMINTHOSPORIUM"
"YMID3  ","DOWNY MILDEW ON ORNAMENTALS"
"YMIL   ","DOWNY MILDEW(PERONOSPORA/PLASMOPHORA SP)"
"YMIP   ","POWDERY MILDEW"
"YMLP   ","POWDERY MILDEW - LEVEILLULA TAURICA"
"YMOUD  ","BLUE MOULD ON POME - P. EXPANSUM"
"YMOUP  ","PENICILLIUM BLUE MOULD"
"YMOUW  ","WHITE MOULD"
"YMOUY2 ","GREY MOULD - BOTRYTIS DIGITATUM"
"YMPL   ","POWDERY MILDEW - PODOSPHAERA LEUCOTRICHA"
"YRO5   ","ROOT ROT - PHYTOPHTHORA MEGASPERMA"
"YROB   ","BROWN ROT - PHYTOPHTHORA CITROPHTHORA"
"YROE1  ","BASE ROT - SCLEROTIUM ROLFSII"
"YROFA  ","ASPERGILLUS FRUIT ROT"
"YROFC  ","CERATOCYSTIS FRUIT ROT"
"YRORT  ","TOP AND ROOT ROT"
"YROTA  ","PHYTOPHTHORA PARASITICA"
"YROTB  ","STEM END ROTS"
"YROTV  ","PHOMA RIPE ROT"
"YROTZ  ","SCLEROTINIA SMALL NECK ROT"
"YRSB   ","SEED BORNE - RHIZOCTONIA SOLANI"
"YRTB   ","BOTRYTIS ROT"
"YRUA   ","RUST - UROMYCES APPENDICULATUS"
"YRUPA  ","RUST - PUCCINIA ANTIRRHINI"
"YRUSB  ","BEAN OR BROAD BEAN RUST- U. VICIAE-FABAE"
"YRUSE  ","PRUNE RUST"
"YRUSM  ","RUST ON MINT"
"YRUSP4 ","STRIPE RUST"
"YRUSR  ","ROSE RUST"
"YRUSW  ","WHITE RUST"
"YSBA   ","SEED-BORNE - ASCOCHYTA RABIEI"
"YSCAL  ","LEMON SCAB"
"YSCUF  ","SILVER SCURF"
"YSGL   ","GREY LEAF SPOT"
"YSMU1  ","SUGARCANE SMUT - USTILAGO SCITAMINEA"
"YSMUC  ","COVERED STINKING SMUT"
"YSMUC1 ","COVERED SMUT (BUNT) - TILLETIA SPP."
"YSPAL  ","ALTERNATA SPOT"
"YSPB2  ","BLACK SPOT"
"YSPB5  ","SEPTORIA TRITICI BLOTCH - SUPRESSION"
"YSPB7  ","SEPTORIA TRITICI BLOTCH - SUPRESSION"
"YSPBP  ","BACTERIAL BROWN SPOT OR BLAST CANKER"
"YSPBR  ","BROWN SPOT - ALTERNARIA ALTERNATA"
"YSPBU  ","BACTERIAL SPOT ON CUCURBIT"
"YSPEC  ","SPECKLE"
"YSPG   ","GREY LEAF SPOT - PYRICULARIA GRISEA"
"YSPLD  ","ALTERNARIA LEAF SPOT - A. ZINNIAE"
"YSPO6  ","BROWN SPOT ON TOBACCO"
"YSPO9  ","SEPTORIA SPOT ON CITRUS"
"YSPOF  ","BLACK SPOT/SCAB IN APPLE/PEAR"
"YSPOG  ","BOTRYTIS LEAF SPOT OR CORM COLLAR ROT"
"YSPOL  ","HELMINTHOSPORIUM LEAF SPOT OR BLIGHT"
"YSPON1 ","BLACK SPOT ON ROSE - DIPLOCARPON ROSAE"
"YSPOR  ","RIPE OR TARGET SPOT ON POME-PEZICULA SPP"
"YSPOTG ","TARGET SPOT"
"YSPOX  ","GREY LEAF SPOT - STEMPHYLIUM SOLANI"
"YSPP   ","PSEUDOCERCOSPORA FRUIT SPOT"
"YSPS   ","SEPTORIA SPOT"
"YWILV  ","VERTICILLIUM WILT"
"ZAAFT  ","AFRICAN TURNIP WEED - SEEDLING"
"ZAAUB1 ","AUSTRALIAN BLUEBELL - W. STRICTA"
"ZABU1  ","BUFFEL GRASS"
"ZACA   ","ACACIA GENUS"
"ZACA2  ","SILVER WATTLE"
"YRSRS  ","RHIZOCTONIA SOLANI - SUPPRESSION"
"YRUC   ","RUST - CEROTELIUM FICI"
"YRUSL  ","LEAF RUST"
"YRUSL1 ","LEAF RUST (P. RECONDITA) - SUPPRESSION"
"YRUSP1 ","STRIPE RUST"
"YRUSP3 ","STRIPE RUST - SUPPRESSION"
"YSCAD  ","BACTERIAL GLADIOLUS SCAB"
"YSCAP  ","POWDERY SCAB"
"YSCDB  ","BARLEY LEAF SCALD"
"YSF    ","FUNGAL SPORE"
"YSMUF1 ","SEEDBORNE FLAG SMUT"
"YSMULT ","LOOSE SMUT - USTILAGO TRITICI"
"YSO    ","SPORE"
"YSOB   ","SOIL BORNE DISEASES"
"YSPB1  ","BLACK SPOT - COLLETOTRICHUM ACUTATUM"
"YSPBG  ","BACTERIAL LEAF SPOT"
"YSPBL  ","BACTERIAL LEAF STEM ROT SPOT"
"YSPCC  ","CERCOSPORA LEAF SPOT"
"YSPE1  ","LEAF SPECKLE - SUPPRESSION"
"YSPL1  ","EARLY LEAF SPOT ON PEANUT"
"YSPL2  ","LATE LEAF SPOT ON PEANUT"
"YSPL7  ","TARGET LEAF SPOT"
"YSPL8  ","ASCOCHYTA LEAF SPOT - ASCOCHYTA SPP."
"YSPL9  ","LEAF SPOT - CERCOSPORIDIUM SPP."
"YSPLA  ","ANGULAR LEAF SPOT - P. GRISEOLA"
"YSPLL  ","LUCERNE LEAF SPOT"
"YSPLS  ","SEPTORIA LEAF SPOT - SEPTORIA SPP."
"YSPLT  ","STEMPHYLIUM LEAF SPOT"
"YSPO10 ","ANGULAR LEAF SPOT-P. SYRINGAE PV. TABACI"
"YSPO4  ","ANGULAR LEAF SPOT-P. SYRINGAE PV. TABACI"
"YSPOI  ","FROG EYE SPOT ON TOBACCO"
"YSPOO  ","RING SPOT ON BRASSICA/COLE CROP"
"YSPOS  ","SEPTORIA LEAF SPOT - SEPTORIA APIICOLA"
"YSPOT  ","LEAF SPOT ON LAWN OR TURF"
"YSPOTA ","TARGET SPOT - ALTERNARIA SOLANI"
"YSPOV  ","ANTHRACNOSE SPOT ON VIOLET"
"YSPSC  ","SEPTORIA SPOT ON CUCURBIT"
"YSQ    ","SQUIRTER"
"YVIR   ","VIRUS"
"YWIL   ","WILTING"
"ZACAA  ","HEDGE ACACIA"
"ZACLB  ","CLIMBING BUCKWHEAT - SEEDLING"
"ZADOM  ","PHEASANT'S-EYE OR ADONIS"
"ZAEUB  ","EUROPEAN BINDWEED - SEEDLING"
"ZAGE1  ","BILLYGOAT WEED - PRE EMERGENCE"
"ZAGRC  ","BENT GRASS - AGROSTIS CAPILLARIS"
"ZAIRC  ","SILVERY HAIRGRASS"
"ZALG   ","ALGAE"
"ZALGD1 ","DIATOMS - DIATOMACEAE"
"ZAMA3  ","REDSHANK (A. CRUENTUS) - SEEDLING"
"ZAMAM  ","DWARF AMARANTH OR BOGGABRI WEED"
"ZAMAQ  ","PRINCE OF WALES FEATHER - SEED"
"ZAMAY  ","PRINCE OF WALES FEATHER - SEEDLING"
"ZAMOR  ","MOSSMAN RIVER GRASS - SEEDLING"
"ZAMS2  ","AMSINCKIA - SUPPRESSION"
"ZAMS3  ","YELLOW BURRWEED - AMSINCKIA INTERMEDIA"
"ZAMS5  ","AMSINCKIA - PRE EMERGENT"
"ZANAJ1 ","NATIVE JUTE"
"ZANDV  ","WHISKY GRASS OR BROOMSEDGE"
"ZARAH  ","VOLUNTEER PEANUT"
"ZARIC1 ","SILVERGRASS (A. CONTORTA) - SUPPRESSION"
"ZAVEL  ","LUDO WILD OAT"
"ZAWIC  ","WILD CARROT - SEEDLING"
"ZBACHS ","GROUNDSEL BUSH - SEEDLING"
"ZBAM1  ","BAMBOO (BAMBUSA SPP.)"
"ZBAV   ","WINTERCRESS"
"ZBOTM1 ","RED-LEG GRASS"
"ZBRA2  ","GREEN SUMMER GRASS"
"ZBRAM  ","PARA GRASS"
"ZBRAR6 ","VOLUNTEER CANOLA"
"ZBRATX ","WILD OR MEDITERRANEAN TURNIP - SEEDLING"
"ZBRO1  ","PRAIRIE GRASS - PRE-EMERGENT SUPPRESSION"
"ZBROML ","SOFT BROME - BROMUS MOLLIS"
"ZBROX  ","PRAIRIE GRASS - SEEDLING"
"ZBS    ","BRUSH WEED"
"ZBUGA1 ","CORN GROMWELL, IRONWEED OR SHEEPWEED"
"ZCAC   ","CABOMBA OR FANWORT"
"ZCALC  ","WHITE CYPRESS PINE"
"ZCALM2 ","CALOPO - <9 LEAF STAGE"
"ZCAP   ","SCENTED TOP"
"ZCARP  ","SLENDER, SHORE OR SHEEP THISTLE"
"ZCARY  ","SAFFRON THISTLE - SEEDLING"
"ZCERG  ","MOUSE-EAR CHICKWEED"
"ZCERX  ","MOUSE-EAR CHICKWEED - SEEDLING"
"ZCESP  ","CHILEAN CESTRUM"
"ZCHEV  ","STINKING GOOSEFOOT"
"ZCHLG1 ","RHODES GRASS - SUPPRESSION"
"ZCIRA  ","CALIFORNIAN THISTLE"
"ZCIRA1 ","CALIFORNIAN THISTLE - SUPPRESSION"
"ZCITC  ","COLOCYNTH"
"ZCITX  ","COLOCYNTH - SEEDLING"
"ZCLE1  ","CLEOME - SEEDLING"
"ZCON1  ","FLEABANE"
"ZCON11 ","FLEABANE - <9 LEAF STAGE"
"ZCONA  ","FIELD BINDWEED"
"ZCONY  ","AUSTRALIAN BINDWEED - SEEDLING"
"ZCROP  ","STREAKED RATTLEPOD"
"ZCRYG1 ","RUBBER VINE - NOT INFECTED WITH RUST"
"ZCUCM  ","PADDY MELON"
"ZCYMR  ","BARBED WIRE GRASS"
"ZCYP1  ","UMBRELLA SEDGE"
"ZCYPD  ","DIRTY DORA OR VARIABLE FLAT SEDGE"
"ZDAT   ","THORNAPPLE"
"ZDAT3  ","COMMON THORNAPPLE - SUPPRESSION"
"ZDATD  ","DATURA SPP."
"ZDIG   ","SUMMER OR CRAB GRASS"
"ZDIGB  ","COTTON PANIC GRASS"
"ZDIGG  ","SUMMER GRASS"
"ZDIGQ  ","SUMMER OR CRAB GRASS - SEED"
"ZDIGS  ","SUMMER OR CRAB GRASS - D. SANGUINALIS"
"ZDIPF4 ","SILVER TOP GRASS (TO 1 LEAF)-SUPPRESSION"
"ZDITG  ","STINKWORT"
"ZECHQ  ","BARNYARD OR WATER GRASS - SEED"
"ZECHX  ","PATERSON'S CURSE - SEEDLING"
"ZENTM  ","BORDERED PANIC"
"ZERA1  ","STINK GRASS"
"ZERAT  ","ELASTIC GRASS"
"WLOC   ","DOG LOUSE"
"WLOE   ","FRUIT TREE BORER"
"WLOGC  ","COMMON GOAT LOUSE"
"WLOHH  ","HEAD LOUSE"
"WLOSB  ","SHEEP BODY LOUSE"
"WLOSB1 ","SHEEP BODY LOUSE - OP SUSCEPTIBLE"
"WLOSB2 ","SHEEP BODY LOUSE - SP RESISTANT"
"WLP    ","LOOPER"
"WLPD   ","COTTON LOOPER"
"WLRI   ","IVY LEAFROLLER"
"WMDG   ","GALL MIDGE"
"WMEA   ","MEALWORM - ADULT"
"WMGC   ","COUCHTIP MAGGOT"
"WMOV1  ","VINE MOTH"
"WMOWM  ","LESSER WAX MOTH"
"WMPF   ","MEAL MOTH"
"WMSAA  ","MOSQUITO - AEDES AEGYPTI"
"WMSD   ","DENGUE MOSQUITO"
"WMSS1  ","SALTMARSH MOSQUITO - LARVA"
"WPS    ","PSOCIDS OR BOOKLOUSE"
"WSCC   ","CITRUS SCALE"
"WSCH   ","HEMISPHERICAL SCALE"
"WSCI   ","WHITE SCALE"
"WSCKO  ","SOFT ORCHID SCALE"
"WSCL   ","GREEN COFFEE SCALE"
"WSCMS  ","MUSSEL SCALE"
"WSCNC  ","COMMON MANGO SCALE"
"WSCO   ","OYSTERSHELL SCALE"
"WSCV   ","OLIVE SCALE"
"WSCW   ","PULVINARIA SCALE"
"WSCWR  ","WHITE ROSE SCALE"
"WSCY   ","YELLOW SCALE"
"WTESM  ","SUBTERRANEAN TERMITE EX. M. DARWINIENSIS"
"WTET   ","TERMITE - COPTOTERMES SPP."
"WTHF   ","FLOWER THRIP"
"WTHFO  ","WESTERN FLOWER THRIP"
"WTHG   ","GREENHOUSE THRIP"
"WTHRB  ","BANANA RUST THRIP"
"WTHV   ","SILVERING THRIPS"
"WWAE   ","ENGLISH WASP"
"WWALS  ","LUCERNE SEED WASP"
"WWAM   ","MUD WASP"
"WWEIA  ","GARDEN OR SOUTH AFRICAN VINE WEEVIL"
"WWER   ","RICE WEEVIL"
"WWGS   ","EUCALYPTUS WEEVIL"
"WWIT   ","TRUE WIREWORM"
"WWS    ","WEB SPINNER"
"XAAAL  ","ANTI LODGING"
"XAABO  ","ACCELERATION OF BOLL OPENING"
"XAAC   ","REDUCE SIZE OF HEAVY CROP"
"XAAEC  ","PROMOTE FRUIT SET"
"XAAEH  ","DECERASE FRUIT SIZE"
"XAAF   ","DECREASE PREMATURE FRUIT DROP"
"XAAFD  ","IMPROVE FRUIT DEVELOPMENT"
"XAALF  ","LOOSEN FRUIT"
"XAAPS  ","PROMOTE SPROUTING"
"XAARS  ","REDUCED SCALD"
"XAAS   ","EXTENDER/STICKER/SPREADER"
"XAASUN ","PREVENT FRUIT SUNBURN"
"XAAUN  ","IMPROVE SIZE UNIFORMITY"
"XADA   ","RESIDUE, DIRT IN MILKING EQUIPMENT"
"XADS   ","TOPICAL DEODORANT"
"XAGC   ","ROOT GROWTH INTO CAVITIES"
"XALG1  ","PROMOTE LATERAL GROWTH"
"XANAF  ","ASPERGILLUS FUMIGATUS"
"XAPD   ","IMPROVE PESTICIDE DEPOSITION"
"XCLK   ","KERATOLYTIC OR CLEANING AGENT"
"XCTEC  ","ENHANCE TEAT CONDITION"
"XDIA1  ","DIURETIC"
"XDICRYP","DIARRHEOA CAUSE CRYPTOSPORIDIUM PARVUM"
"XGAA   ","DISEASE CONTROL"
"XGADH  ","DIP HYGIENE (DISINFECTION OF DIPS)"
"XLTIT  ","THIN-IT BLOSSOM THINNER"
"XPDF   ","RETENTION OF PROTEIN IN STANDING DRY FEED"
"XVID   ","VITAMIN DEFICIENCY"
"YANTA  ","ANTHRACNOSE ON CUCURBIT"
"YANTO  ","ANTHRACNOSE ON OLIVES"
"YBAC2  ","BACTERIAL CANKER SUPPRESSION"
"YBACW  ","BACTERIAL BLIGHT WILT"
"YBLB2  ","BLOSSOM BLIGHT - MONILINIA FRUCTICOLA"
"YBLFB  ","FIRE BLIGHT"
"YBLLB  ","LEAF BLIGHT - ASCOCHYTA FABAE"
